,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
109,12506732,复旦大学 现象学概论 全56讲 主讲-佘碧平 视频教程,2017-07-23,choitsjilp,7703,58,15,1243,22,54,42,[复旦大学 现象学概论 全56讲 主讲-佘]
47,47926439,陈果 复旦大学公开课,2019-04-01,Don_N,6983,9,22,1192,45,59,112,"[演讲, 学习, 课程, 陈果]"
68,23123847,【物理】电动力学 复旦大学 周磊主讲,2018-05-07,言身寸Qc,14492,73,32,1151,111,68,110,"[科学, 物理, 学习, 课程, 公开课, 理论物理, 场论]"
59,32824211,【历史/地理/人文】中国历史人文地理（下）（复旦大学/葛剑雄）,2018-10-01,不能更新,10725,30,8,1149,56,50,75,"[科普, 人文, 历史, 地理, 中国, 公开课, 复旦大学, 人文地理, 葛剑雄, 历史地理]"
110,6846291,【复旦电子学基础系列】信号与通信系统授课视频,2016-10-27,Aimoeの桜,12062,128,288,1146,155,70,54,"[复旦电子工程, 复旦电子学, 汪源源, 信号与通信系统]"
31,33602309,【复旦大学】新闻学概论（全12P）,2018-10-11,白稚卿,7211,27,8,1132,18,29,53,[新闻学]
53,36229662,【历史】日本文明的历史变迁 全四十三讲 复旦大学 冯玮 教授 主讲,2018-11-18,上岸排石,11651,80,28,1059,40,43,101,"[历史, 日本, 冯玮, 复旦大学]"
20,33366375,【复旦大学】遗传学,2018-10-07,AMEN奇奇,13087,41,17,1031,50,59,133,"[科学, 学习, 公开课, 遗传学]"
66,34700239,【哲学】西方马克思主义前沿问题研究 全六十二讲 复旦大学 陈学明 教授 主讲,2018-10-27,上岸排石,6524,1,1,1022,36,49,95,"[哲学, 复旦大学, 西方马克思主义, 陈学明]"
0,37640750,复旦大学药理学63集全集-宇霖医学视频网,2018-12-07,宇霖医学网,12002,14,9,1019,42,55,79,"[读书, 中医, 学习, 新人向, 医学]"
58,32678876,【历史】中西文化交流史 全50讲 复旦大学 姚大力教授 主讲,2018-09-29,上岸排石,13556,41,15,1015,34,87,116,"[历史, 教育, 复旦大学, 中西文化交流史, 姚大力, 边疆史]"
38,28168369,复旦大学 精品课程  流行病学 （卫生综合),2018-07-31,Yvette234,8825,19,37,964,81,59,88,"[学习, 考研, 教育, 考试, 公开课, 预防医学, 流统]"
62,39077395,制度经济学【69集】(韦森：复旦大学),2018-12-26,York1996,4690,14,4,954,42,26,74,"[复旦, 制度经济学]"
2,10289610,数值优化 复旦大学吴立德教授,2017-05-03,塞外小王爷,11444,87,22,945,36,50,64,"[数学, 教育, 学习, 课程, 数值优化]"
118,10498321,深度学习 复旦大学吴立德教授,2017-05-12,塞外小王爷,8667,13,7,938,12,32,15,"[CNN, 神经网络, 数学, 自然语言处理, 稀疏编码, 复旦大学, 理论, BP, 优化, 深度学习]"
72,29596521,【校级精品课程】计算机原理_复旦大学,2018-08-17,JD之友,8818,29,16,906,37,17,55,"[课程, 考试, 教育, 计算机, 学习, 公开课, 复旦大学, 计算机原理]"
94,27447302,【黄霖】中国文学理论批评史 复旦大学,2018-07-22,江北の北,5047,1,7,904,14,27,41,"[复旦大学, 文学理论, 黄霖, 中国文学批评史]"
22,46444771,国际关系导论【54集】(陈玉刚：复旦大学),2019-03-16,York1996,5432,1,7,874,30,13,89,"[个人, 国际体系, 国际组织与国际法, 战争与国际安全, 外交——管理国际行为体之间的关系, 国际关系概论与研究路径, 国际关系的理论视角, 国家的对外战略与对外政策, 国际政治经济, 当代国际关系的历史背景]"
128,11919642,复旦大学医学院 神经生物学 全33讲 主讲-孙风艳 附课件 视频教程,2017-07-05,choitsjilp,6428,21,18,840,28,42,44,[复旦大学医学院 神经生物学 全33讲 主]
50,50062126,《世说新语》导读 复旦大学公开课 （全26集）,2019-04-21,人文学科名师讲坛,3647,2,2,814,34,19,98,"[演讲, 讲座, 学习, 考试, 考研, 哲学, 视频教程, 公开课, 线上课堂]"
145,12580170,复旦大学 西方道德哲学原著选读 全48讲 主讲-白彤东 视频教程,2017-07-27,choitsjilp,3433,12,3,744,16,31,15,[复旦大学 西方道德哲学原著选读 全48讲]
51,48225102,【复旦大学】基于unity 3D引擎的游戏开发 基础+进阶,2019-04-07,逆风微笑的代码狗,4813,6,9,742,49,10,99,"[UNITY3D, 学习, 程序员, 编程, 交互设计, 三维建模]"
117,18617096,复旦大学 张志林 哲学导论 60讲,2018-01-23,yiru1234,6289,38,11,719,36,47,36,"[演讲, 考试, 讲座, 哲学, 公开课]"
127,19827620,【文学课】复旦大学 新闻编辑与评论  【主讲-黄芝晓】【全59讲】,2018-02-20,海鷗叔叔的孤島,2357,0,6,691,21,30,47,"[公开课, 黄芝晓, 新闻编辑与评论]"
5,38299864,中国法制史 复旦大学(郭建),2018-12-16,xxm1995,13811,219,14,672,52,46,106,"[历史, 中国, 教育, 公开课]"
